municipality,installed_hp_accounts,installed_hp_locations
Abington,50,52
Acton,55,54
Acushnet,76,76
Adams,2,2
Agawam,34,34
Alford,3,3
Amesbury,36,34
Amherst,48,48
Andover,53,53
Aquinnah,9,9
Arlington,78,77
Ashby,3,3
Ashland,33,33
Athol,14,13
Attleboro,76,76
Auburn,37,37
Avon,7,7
Ayer,13,12
Barnstable,197,194
Barre,7,7
Becket,5,5
Bedford,36,36
Belchertown,38,38
Bellingham,28,28
Berlin,8,7
Bernardston,6,6
Beverly,62,62
Billerica,64,64
Blackstone,26,26
Blandford,5,5
Bolton,18,18
Boston,612,579
Bourne,211,211
Boxford,18,18
Brewster,78,78
Bridgewater,45,48
Brimfield,6,6
Brockton,119,121
Brookfield,8,8
Brookline,76,75
Buckland,8,7
Burlington,38,37
Cambridge,114,113
Canton,41,41
Carlisle,15,15
Carver,34,32
Charlemont,4,4
Charlton,43,46
Chatham,81,81
Chelmsford,43,43
Chelsea,7,6
Chesterfield,3,3
Chilmark,26,26
Clinton,16,16
Cohasset,22,24
Colrain,6,6
Conway,4,4
Cummington,2,2
Dalton,7,7
Dartmouth,218,216
Dedham,52,51
Deerfield,11,11
Dennis,150,150
Dighton,25,25
Douglas,12,12
Dover,8,8
Dracut,27,28
Dudley,21,21
Dunstable,6,6
Duxbury,59,58
East Bridgewater,43,47
East Brookfield,6,7
East Longmeadow,13,13
Eastham,76,76
Easthampton,32,32
Easton,68,71
Edgartown,154,153
Essex,11,9
Everett,27,27
Fairhaven,117,114
Fall River,105,117
Falmouth,262,262
Fitchburg,37,37
Foxborough,25,25
Framingham,117,115
Franklin,86,83
Freetown,43,41
Gardner,22,24
Gill,2,2
Gloucester,66,67
Goshen,3,2
Grafton,27,27
Granby,16,16
Granville,2,2
Great Barrington,6,6
Greenfield,29,28
Hadley,14,13
Halifax,15,15
Hamilton,14,14
Hampden,5,5
Hanover,37,36
Hanson,21,21
Hardwick,3,3
Harvard,17,17
Harwich,94,92
Hatfield,7,7
Haverhill,60,60
Hawley,1,1
Holbrook,16,16
Holland,4,4
Holliston,40,40
Hopedale,7,7
Hopkinton,24,24
Hubbardston,9,9
Huntington,1,1
Kingston,52,50
Lakeville,10,10
Lanesborough,3,3
Lawrence,9,9
Lee,6,6
Leicester,17,17
Lenox,8,8
Leominster,83,88
Leverett,12,12
Lexington,77,76
Leyden,4,4
Lincoln,19,18
Longmeadow,25,25
Lowell,43,40
Ludlow,33,33
Lunenburg,20,19
Lynn,50,48
Malden,56,55
Manchester-By-The-Sea,16,16
Marion,38,38
Marlborough,52,53
Marshfield,69,69
Mashpee,86,85
Mattapoisett,106,105
Maynard,23,23
Medfield,19,19
Medford,67,67
Medway,30,29
Melrose,85,85
Mendon,10,10
Methuen,27,27
Middlefield,1,1
Milford,35,34
Millbury,22,22
Millis,14,13
Millville,5,5
Milton,96,95
Monroe,1,1
Monson,16,15
Montague,13,13
Monterey,1,1
Nahant,8,8
Nantucket,686,742
Natick,57,57
Needham,55,55
New Bedford,318,308
New Braintree,2,2
Newbury,23,26
Newburyport,51,51
Newton,196,193
Norfolk,35,35
North Adams,4,4
North Andover,26,26
North Attleboro,2,2
North Brookfield,7,7
Northampton,45,45
Northborough,28,30
Northbridge,15,17
Northfield,7,6
Norton,30,30
Norwell,32,34
Oak Bluffs,68,67
Oakham,4,4
Orange,8,7
Orleans,49,49
Otis,11,10
Oxford,24,25
Palmer,16,16
Pelham,7,7
Pembroke,46,46
Pepperell,17,17
Peru,1,1
Petersham,3,3
Phillipston,4,4
Pittsfield,28,27
Plainfield,1,1
Plainville,10,10
Plymouth,253,251
Plympton,7,7
Provincetown,33,33
Quincy,80,86
Randolph,35,35
Rehoboth,28,28
Revere,25,25
Richmond,5,5
Rochester,43,43
Rockland,33,36
Rockport,29,29
Rowe,1,1
Rutland,15,14
Salem,34,33
Salisbury,19,19
Sandwich,108,106
Saugus,33,31
Scituate,65,65
Seekonk,23,24
Sharon,26,26
Sheffield,6,6
Shelburne,7,7
Sherborn,8,8
Shirley,5,5
Shutesbury,10,10
Somerset,52,52
Somerville,69,67
Southampton,18,17
Southborough,30,30
Southbridge,13,14
Southwick,15,15
Spencer,33,32
Springfield,68,67
Sterling,1,1
Stockbridge,3,3
Stoneham,35,34
Stoughton,33,35
Sturbridge,24,22
Sudbury,43,43
Sunderland,4,4
Sutton,21,21
Swampscott,20,20
Swansea,32,32
Tewksbury,41,41
Tisbury,87,84
Tolland,2,2
Topsfield,11,11
Townsend,10,10
Truro,40,40
Tyngsborough,12,12
Upton,14,14
Uxbridge,26,26
Wales,2,2
Walpole,46,46
Waltham,89,86
Ware,7,7
Wareham,173,172
Warren,4,4
Washington,1,1
Watertown,44,44
Wayland,29,28
Wellfleet,39,39
Wenham,8,8
West Bridgewater,20,20
West Brookfield,5,5
West Newbury,8,8
West Springfield,31,30
West Stockbridge,1,1
West Tisbury,48,46
Westborough,40,40
Westford,31,31
Westhampton,5,5
Westminster,22,22
Weston,46,44
Westport,126,125
Westwood,28,27
Weymouth,78,79
Whately,7,7
Whitman,16,15
Wilbraham,22,22
Williamsburg,5,5
Williamstown,3,3
Winchendon,9,9
Winchester,38,37
Windsor,1,1
Winthrop,32,32
Woburn,75,74
Worcester,180,181
Worthington,3,3
Wrentham,20,20
Yarmouth,128,126
